"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"09.03.2023,""9.423,20"",""9.454,90"",""9.457,40"",""9.388,90"",""116,72M"",""-0,45%"""
"08.03.2023,""9.466,10"",""9.387,00"",""9.480,90"",""9.369,40"",""123,51M"",""0,58%"""
"07.03.2023,""9.411,10"",""9.503,10"",""9.528,30"",""9.408,50"",""159,20M"",""-1,05%"""
"06.03.2023,""9.511,00"",""9.498,80"",""9.524,60"",""9.441,80"",""145,46M"",""0,49%"""
"03.03.2023,""9.464,20"",""9.358,60"",""9.472,20"",""9.357,00"",""161,26M"",""1,47%"""
"02.03.2023,""9.327,30"",""9.293,00"",""9.336,20"",""9.246,10"",""157,35M"",""0,05%"""
"01.03.2023,""9.322,90"",""9.420,90"",""9.453,80"",""9.307,40"",""187,24M"",""-0,76%"""
"28.02.2023,""9.394,60"",""9.304,20"",""9.442,80"",""9.279,60"",""306,11M"",""0,86%"""
"27.02.2023,""9.314,30"",""9.252,00"",""9.351,70"",""9.250,50"",""150,06M"",""1,23%"""
"24.02.2023,""9.201,50"",""9.256,60"",""9.314,50"",""9.194,40"",""254,03M"",""-0,33%"""
"23.02.2023,""9.231,60"",""9.184,30"",""9.253,90"",""9.179,50"",""144,01M"",""0,64%"""
"22.02.2023,""9.172,70"",""9.219,10"",""9.222,60"",""9.118,50"",""154,73M"",""-0,86%"""
"21.02.2023,""9.252,10"",""9.254,50"",""9.286,10"",""9.195,90"",""116,05M"",""-0,31%"""
"20.02.2023,""9.281,30"",""9.352,70"",""9.369,10"",""9.273,90"",""101,22M"",""-0,55%"""
"17.02.2023,""9.333,00"",""9.275,10"",""9.363,10"",""9.240,80"",""168,39M"",""0,06%"""
"16.02.2023,""9.327,30"",""9.338,20"",""9.362,80"",""9.291,40"",""170,12M"",""0,35%"""
"15.02.2023,""9.294,80"",""9.272,30"",""9.313,50"",""9.258,70"",""124,53M"",""0,34%"""
"14.02.2023,""9.263,20"",""9.234,80"",""9.311,60"",""9.231,50"",""153,03M"",""0,57%"""
"13.02.2023,""9.210,30"",""9.135,10"",""9.217,20"",""9.120,70"",""108,84M"",""1,02%"""
"10.02.2023,""9.117,40"",""9.213,80"",""9.214,50"",""9.069,60"",""179,66M"",""-1,36%"""
"09.02.2023,""9.243,50"",""9.270,60"",""9.296,30"",""9.243,50"",""142,05M"",""0,18%"""
