"Index","X3M","X6M","X1Y","X2Y","X3Y","X4Y","X5Y","X6Y","X7Y","X8Y","X9Y","X10Y","X11Y","X12Y","X13Y","X14Y","X15Y","X16Y","X17Y","X18Y","X19Y","X20Y","X21Y","X22Y","X23Y","X24Y","X25Y","X26Y","X27Y","X28Y","X29Y","X30Y"
"2014-08-11",0.027584,0.00019,-0.031333,-0.01872,0.067229,0.200609,0.362074,0.537385,0.716258,0.891447,1.058031,1.212842,1.354027,1.480699,1.592667,1.69024,1.774056,1.844975,1.90398,1.95212,1.990453,2.02002,2.041817,2.056782,2.065788,2.069632,2.069042,2.064672,2.057109,2.046874,2.034426,2.020172
"2014-08-18",0.034843,0.005469,-0.029895,-0.024417,0.055208,0.183106,0.339916,0.511351,0.687061,0.859725,1.024345,1.177676,1.317793,1.44374,1.55527,1.652634,1.736426,1.807465,1.866701,1.915152,1.953854,1.983828,2.006053,2.021457,2.030899,2.035171,2.034995,2.031021,2.023832,2.013948,2.001827,1.987875
"2014-08-25",0.00187,-0.027468,-0.063507,-0.061678,0.012272,0.133413,0.283045,0.447337,0.616237,0.782612,0.941565,1.089897,1.225688,1.347959,1.456422,1.551279,1.63307,1.702556,1.760633,1.808265,1.846441,1.876137,1.898293,1.913799,1.923486,1.928117,1.928391,1.924937,1.918323,1.909052,1.897572,1.884278
"2014-09-01",-0.001101,-0.028544,-0.062481,-0.061599,0.006968,0.120431,0.261553,0.417466,0.578718,0.738516,0.892121,1.036369,1.169291,1.289813,1.39752,1.492476,1.575083,1.645966,1.7059,1.755737,1.796366,1.82868,1.853547,1.871799,1.884216,1.891525,1.894394,1.893431,1.889186,1.882152,1.872772,1.861436
"2014-09-08",-0.029646,-0.060826,-0.10041,-0.104668,-0.034903,0.084274,0.234198,0.400895,0.574062,0.746262,0.912279,1.068597,1.213001,1.34425,1.461828,1.565743,1.656376,1.734361,1.800497,1.85568,1.900848,1.936949,1.96491,1.985622,1.999924,2.0086,2.012371,2.011898,2.007779,2.000551,1.990698,1.978647
"2014-09-15",-0.028875,-0.05875,-0.094391,-0.08701,-0.002946,0.131184,0.295412,0.474966,0.659111,0.840232,1.013102,1.174311,1.321812,1.454573,1.572297,1.675212,1.76391,1.839218,1.90211,1.953632,1.994856,2.026841,2.050607,2.067121,2.077284,2.081927,2.081808,2.077614,2.069962,2.059401,2.046419,2.031448
"2014-09-22",-0.028271,-0.057848,-0.093669,-0.088917,-0.009259,0.119768,0.278909,0.453841,0.634087,0.812154,0.982847,1.14273,1.28969,1.422606,1.541086,1.64526,1.735624,1.812918,1.878033,1.931949,1.975674,2.010216,2.036553,2.055616,2.068278,2.075349,2.077571,2.075619,2.0701,2.06156,2.050486,2.037307
"2014-09-29",-0.027457,-0.056648,-0.092815,-0.092222,-0.019804,0.100293,0.249798,0.415063,0.586058,0.755568,0.918557,1.071657,1.212765,1.340733,1.455109,1.555954,1.643685,1.718961,1.782595,1.835491,1.878589,1.912833,1.939145,1.958406,1.971446,1.979036,1.981886,1.980643,1.975892,1.96816,1.957918,1.945582
"2014-10-06",-0.025696,-0.053484,-0.0878,-0.086584,-0.016488,0.099415,0.243642,0.40311,0.568191,0.731944,0.889511,1.037633,1.174268,1.298287,1.409239,1.507161,1.59244,1.665697,1.727706,1.779327,1.82146,1.855011,1.880865,1.899869,1.912823,1.920472,1.923501,1.922536,1.918145,1.910836,1.901068,1.889244
"2014-10-13",-0.022057,-0.046814,-0.076665,-0.07152,-0.002048,0.11058,0.250218,0.404696,0.564985,0.724514,0.878633,1.024174,1.159105,1.282258,1.393109,1.491605,1.578034,1.652921,1.716943,1.770874,1.815535,1.851762,1.88038,1.902186,1.917938,1.928346,1.934067,1.935706,1.933814,1.928891,1.921385,1.911697
"2014-10-20",-0.02178,-0.046418,-0.076448,-0.073047,-0.006693,0.101894,0.236908,0.386438,0.541643,0.696093,0.845236,0.985971,1.116313,1.235119,1.34188,1.436547,1.519405,1.590972,1.651914,1.702991,1.745012,1.778796,1.805156,1.824873,1.838692,1.847309,1.851371,1.85147,1.848148,1.841893,1.833147,1.822301
"2014-10-27",-0.019473,-0.042006,-0.068381,-0.059513,0.010432,0.121282,0.257646,0.40792,0.563492,0.718095,0.867295,1.008071,1.138492,1.257447,1.364445,1.459447,1.542739,1.61483,1.676383,1.728147,1.77092,1.805511,1.832721,1.853324,1.868053,1.877597,1.882594,1.883633,1.881247,1.875922,1.868093,1.858151
